"Region Code","Timestamp (Hour Ending)","NY Demand (MWh)"
US48,"10/22/2020, Eastern Time",
US48,"10/23/2020, Eastern Time",380120
US48,"10/23/2020, Eastern Time",
US48,"10/24/2020, Eastern Time",351243
US48,"10/24/2020, Eastern Time",
US48,"10/25/2020, Eastern Time",343680
US48,"10/25/2020, Eastern Time",
US48,"10/26/2020, Eastern Time",382988
US48,"10/26/2020, Eastern Time",
US48,"10/27/2020, Eastern Time",378156
US48,"10/27/2020, Eastern Time",
US48,"10/28/2020, Eastern Time",382536
US48,"10/28/2020, Eastern Time",
US48,"10/29/2020, Eastern Time",390508
US48,"10/29/2020, Eastern Time",
US48,"10/30/2020, Eastern Time",397989
US48,"10/30/2020, Eastern Time",
US48,"10/31/2020, Eastern Time",368979
US48,"10/31/2020, Eastern Time",
US48,"11/1/2020, Eastern Time",383759
US48,"11/1/2020, Eastern Time",
US48,"11/2/2020, Eastern Time",404530
US48,"11/2/2020, Eastern Time",
US48,"11/3/2020, Eastern Time",398826
US48,"11/3/2020, Eastern Time",
US48,"11/4/2020, Eastern Time",385107
US48,"11/4/2020, Eastern Time",
US48,"11/5/2020, Eastern Time",374554
US48,"11/5/2020, Eastern Time",
US48,"11/6/2020, Eastern Time",367269
US48,"11/6/2020, Eastern Time",
US48,"11/7/2020, Eastern Time",341890
US48,"11/7/2020, Eastern Time",
US48,"11/8/2020, Eastern Time",336662
US48,"11/8/2020, Eastern Time",
US48,"11/9/2020, Eastern Time",368160
US48,"11/9/2020, Eastern Time",
US48,"11/10/2020, Eastern Time",372050
US48,"11/10/2020, Eastern Time",
US48,"11/11/2020, Eastern Time",378257
US48,"11/11/2020, Eastern Time",
US48,"11/12/2020, Eastern Time",381135
US48,"11/12/2020, Eastern Time",
US48,"11/13/2020, Eastern Time",386797
US48,"11/13/2020, Eastern Time",
US48,"11/14/2020, Eastern Time",359465
US48,"11/14/2020, Eastern Time",
US48,"11/15/2020, Eastern Time",360657
US48,"11/15/2020, Eastern Time",
US48,"11/16/2020, Eastern Time",383362
US48,"11/16/2020, Eastern Time",
US48,"11/17/2020, Eastern Time",401069
US48,"11/17/2020, Eastern Time",
US48,"11/18/2020, Eastern Time",417364
US48,"11/18/2020, Eastern Time",
US48,"11/19/2020, Eastern Time",407893
US48,"11/19/2020, Eastern Time",
US48,"11/20/2020, Eastern Time",377500
US48,"11/20/2020, Eastern Time",
US48,"11/21/2020, Eastern Time",354913
US48,"11/21/2020, Eastern Time",
US48,"11/22/2020, Eastern Time",368526
US48,"11/22/2020, Eastern Time",
US48,"11/23/2020, Eastern Time",390956
US48,"11/23/2020, Eastern Time",
US48,"11/24/2020, Eastern Time",396220
US48,"11/24/2020, Eastern Time",
US48,"11/25/2020, Eastern Time",392693
US48,"11/25/2020, Eastern Time",
US48,"11/26/2020, Eastern Time",354877
US48,"11/26/2020, Eastern Time",
US48,"11/27/2020, Eastern Time",353285
US48,"11/27/2020, Eastern Time",
US48,"11/28/2020, Eastern Time",356781
US48,"11/28/2020, Eastern Time",
US48,"11/29/2020, Eastern Time",357775
US48,"11/29/2020, Eastern Time",
US48,"11/30/2020, Eastern Time",397672
US48,"11/30/2020, Eastern Time",
US48,"12/1/2020, Eastern Time",391636
US48,"12/1/2020, Eastern Time",
US48,"12/2/2020, Eastern Time",413585
US48,"12/2/2020, Eastern Time",
US48,"12/3/2020, Eastern Time",405187
US48,"12/3/2020, Eastern Time",
US48,"12/4/2020, Eastern Time",400374
US48,"12/4/2020, Eastern Time",
US48,"12/5/2020, Eastern Time",388790
US48,"12/5/2020, Eastern Time",
US48,"12/6/2020, Eastern Time",393226
US48,"12/6/2020, Eastern Time",
US48,"12/7/2020, Eastern Time",427538
US48,"12/7/2020, Eastern Time",
US48,"12/8/2020, Eastern Time",439286
US48,"12/8/2020, Eastern Time",
US48,"12/9/2020, Eastern Time",437546
US48,"12/9/2020, Eastern Time",
US48,"12/10/2020, Eastern Time",417418
US48,"12/10/2020, Eastern Time",
US48,"12/11/2020, Eastern Time",405539
