Region Code,Timestamp (Hour Ending),NY Demand (MWh)
US48,"10/8/2018, Eastern Time",415068
US48,"10/8/2018, Eastern Time",
US48,"10/9/2018, Eastern Time",447319
US48,"10/9/2018, Eastern Time",
US48,"10/10/2018, Eastern Time",468468
US48,"10/10/2018, Eastern Time",
US48,"10/11/2018, Eastern Time",465533
US48,"10/11/2018, Eastern Time",
US48,"10/12/2018, Eastern Time",394776
US48,"10/12/2018, Eastern Time",
US48,"10/13/2018, Eastern Time",353788
US48,"10/13/2018, Eastern Time",
US48,"10/14/2018, Eastern Time",345641
US48,"10/14/2018, Eastern Time",
US48,"10/15/2018, Eastern Time",394701
US48,"10/15/2018, Eastern Time",
US48,"10/16/2018, Eastern Time",384344
US48,"10/16/2018, Eastern Time",
US48,"10/17/2018, Eastern Time",389027
US48,"10/17/2018, Eastern Time",
US48,"10/18/2018, Eastern Time",394648
US48,"10/18/2018, Eastern Time",
US48,"10/19/2018, Eastern Time",389559
US48,"10/19/2018, Eastern Time",
US48,"10/20/2018, Eastern Time",358271
US48,"10/20/2018, Eastern Time",
US48,"10/21/2018, Eastern Time",362360
US48,"10/21/2018, Eastern Time",
US48,"10/22/2018, Eastern Time",399103
US48,"10/22/2018, Eastern Time",
US48,"10/23/2018, Eastern Time",392058
US48,"10/23/2018, Eastern Time",
US48,"10/24/2018, Eastern Time",396269
US48,"10/24/2018, Eastern Time",
US48,"10/25/2018, Eastern Time",398694
US48,"10/25/2018, Eastern Time",
US48,"10/26/2018, Eastern Time",398170
US48,"10/26/2018, Eastern Time",
US48,"10/27/2018, Eastern Time",382117
US48,"10/27/2018, Eastern Time",
US48,"10/28/2018, Eastern Time",364472
US48,"10/28/2018, Eastern Time",
US48,"10/29/2018, Eastern Time",398320
US48,"10/29/2018, Eastern Time",
US48,"10/30/2018, Eastern Time",397847
US48,"10/30/2018, Eastern Time",
US48,"10/31/2018, Eastern Time",397139
US48,"10/31/2018, Eastern Time",
US48,"11/1/2018, Eastern Time",397981
US48,"11/1/2018, Eastern Time",
US48,"11/2/2018, Eastern Time",402090
US48,"11/2/2018, Eastern Time",
US48,"11/3/2018, Eastern Time",369477
US48,"11/3/2018, Eastern Time",
US48,"11/4/2018, Eastern Time",376431
US48,"11/4/2018, Eastern Time",
US48,"11/5/2018, Eastern Time",405212
US48,"11/5/2018, Eastern Time",
US48,"11/6/2018, Eastern Time",403086
US48,"11/6/2018, Eastern Time",
US48,"11/7/2018, Eastern Time",393667
US48,"11/7/2018, Eastern Time",
US48,"11/8/2018, Eastern Time",397795
US48,"11/8/2018, Eastern Time",
